sensor_id_temperature,sensor_type_temperature,location_temperature,lat_temperature,lon_temperature,timestamp_temperature,value_type_temperature,value_temperature,timestamp_new,sensor_id_humidity,sensor_type_humidity,location_humidity,lat_humidity,lon_humidity,timestamp_humidity,value_type_humidity,value_humidity,sensor_id_P1,sensor_type_P1,location_P1,lat_P1,lon_P1,timestamp_P1,value_type_P1,value_P1,sensor_id_P2,sensor_type_P2,location_P2,lat_P2,lon_P2,timestamp_P2,value_type_P2,value_P2
145,DHT22,3528,-0.286,36.067,2023-02-04 06:52:20.294493+00:00,temperature,22,2023-02-04 06:52:20+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:52:20.294493+00:00,humidity,65,144,SDS011,3528,-0.286,36.067,2023-02-04 06:52:20.293391+00:00,P1,39.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:52:20.293391+00:00,P2,5.0
145,DHT22,3528,-0.286,36.067,2023-02-04 06:54:59.773980+00:00,temperature,22,2023-02-04 06:54:59+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:54:59.773980+00:00,humidity,67,144,SDS011,3528,-0.286,36.067,2023-02-04 06:54:59.773991+00:00,P1,20.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:54:59.773991+00:00,P2,6.0
145,DHT22,3528,-0.286,36.067,2023-02-04 06:57:40.734204+00:00,temperature,22,2023-02-04 06:57:40+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:57:40.734204+00:00,humidity,65,144,SDS011,3528,-0.286,36.067,2023-02-04 06:57:40.787573+00:00,P1,7.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:57:40.787573+00:00,P2,5.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:00:21.082125+00:00,temperature,23,2023-02-04 07:00:21+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:00:21.082125+00:00,humidity,66,144,SDS011,3528,-0.286,36.067,2023-02-04 07:00:21.074904+00:00,P1,6.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:00:21.074904+00:00,P2,5.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:03:00.396508+00:00,temperature,23,2023-02-04 07:03:00+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:03:00.396508+00:00,humidity,64,144,SDS011,3528,-0.286,36.067,2023-02-04 07:03:00.396456+00:00,P1,14.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:03:00.396456+00:00,P2,6.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:05:41.186858+00:00,temperature,23,2023-02-04 07:05:41+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:05:41.186858+00:00,humidity,63,144,SDS011,3528,-0.286,36.067,2023-02-04 07:05:41.186861+00:00,P1,10.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:05:41.186861+00:00,P2,6.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:08:21.019636+00:00,temperature,23,2023-02-04 07:08:21+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:08:21.019636+00:00,humidity,64,144,SDS011,3528,-0.286,36.067,2023-02-04 07:08:21.389829+00:00,P1,19.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:08:21.389829+00:00,P2,6.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:11:01.006209+00:00,temperature,23,2023-02-04 07:11:01+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:11:01.006209+00:00,humidity,66,144,SDS011,3528,-0.286,36.067,2023-02-04 07:11:01.001683+00:00,P1,32.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:11:01.001683+00:00,P2,8.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:13:41.646775+00:00,temperature,24,2023-02-04 07:13:41+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:13:41.646775+00:00,humidity,66,144,SDS011,3528,-0.286,36.067,2023-02-04 07:13:41.648291+00:00,P1,22.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:13:41.648291+00:00,P2,8.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:16:21.182164+00:00,temperature,24,2023-02-04 07:16:21+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:16:21.182164+00:00,humidity,67,144,SDS011,3528,-0.286,36.067,2023-02-04 07:16:21.182172+00:00,P1,17.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:16:21.182172+00:00,P2,6.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:19:01.497637+00:00,temperature,24,2023-02-04 07:19:01+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:19:01.497637+00:00,humidity,65,144,SDS011,3528,-0.286,36.067,2023-02-04 07:19:01.496544+00:00,P1,20.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:19:01.496544+00:00,P2,7.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:21:42.318060+00:00,temperature,25,2023-02-04 07:21:42+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:21:42.318060+00:00,humidity,67,144,SDS011,3528,-0.286,36.067,2023-02-04 07:21:42.318071+00:00,P1,28.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:21:42.318071+00:00,P2,6.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:24:21.589719+00:00,temperature,25,2023-02-04 07:24:21+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:24:21.589719+00:00,humidity,61,144,SDS011,3528,-0.286,36.067,2023-02-04 07:24:21.589190+00:00,P1,7.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:24:21.589190+00:00,P2,6.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:27:02.184801+00:00,temperature,25,2023-02-04 07:27:02+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:27:02.184801+00:00,humidity,64,144,SDS011,3528,-0.286,36.067,2023-02-04 07:27:02.187054+00:00,P1,21.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:27:02.187054+00:00,P2,6.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:29:42.283684+00:00,temperature,25,2023-02-04 07:29:42+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:29:42.283684+00:00,humidity,61,144,SDS011,3528,-0.286,36.067,2023-02-04 07:29:42.283704+00:00,P1,10.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:29:42.283704+00:00,P2,4.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:32:21.515493+00:00,temperature,25,2023-02-04 07:32:21+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:32:21.515493+00:00,humidity,60,144,SDS011,3528,-0.286,36.067,2023-02-04 07:32:21.515457+00:00,P1,10.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:32:21.515457+00:00,P2,4.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:35:03.148889+00:00,temperature,25,2023-02-04 07:35:03+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:35:03.148889+00:00,humidity,58,144,SDS011,3528,-0.286,36.067,2023-02-04 07:35:03.207646+00:00,P1,19.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:35:03.207646+00:00,P2,5.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:37:43.079550+00:00,temperature,25,2023-02-04 07:37:43+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:37:43.079550+00:00,humidity,59,144,SDS011,3528,-0.286,36.067,2023-02-04 07:37:43.133045+00:00,P1,35.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:37:43.133045+00:00,P2,5.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:40:23.364289+00:00,temperature,25,2023-02-04 07:40:23+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:40:23.364289+00:00,humidity,57,144,SDS011,3528,-0.286,36.067,2023-02-04 07:40:23.358551+00:00,P1,10.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:40:23.358551+00:00,P2,5.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:43:02.859210+00:00,temperature,26,2023-02-04 07:43:02+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:43:02.859210+00:00,humidity,56,144,SDS011,3528,-0.286,36.067,2023-02-04 07:43:02.860697+00:00,P1,30.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:43:02.860697+00:00,P2,5.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:45:43.306056+00:00,temperature,26,2023-02-04 07:45:43+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:45:43.306056+00:00,humidity,57,144,SDS011,3528,-0.286,36.067,2023-02-04 07:45:43.313589+00:00,P1,11.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:45:43.313589+00:00,P2,3.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:48:23.445919+00:00,temperature,26,2023-02-04 07:48:23+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:48:23.445919+00:00,humidity,57,144,SDS011,3528,-0.286,36.067,2023-02-04 07:48:23.448556+00:00,P1,39.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:48:23.448556+00:00,P2,4.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:51:03.243819+00:00,temperature,26,2023-02-04 07:51:03+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:51:03.243819+00:00,humidity,56,144,SDS011,3528,-0.286,36.067,2023-02-04 07:51:03.242386+00:00,P1,11.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:51:03.242386+00:00,P2,4.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:53:43.378445+00:00,temperature,26,2023-02-04 07:53:43+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:53:43.378445+00:00,humidity,51,144,SDS011,3528,-0.286,36.067,2023-02-04 07:53:43.378306+00:00,P1,6.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:53:43.378306+00:00,P2,4.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:56:23.019477+00:00,temperature,26,2023-02-04 07:56:23+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:56:23.019477+00:00,humidity,50,144,SDS011,3528,-0.286,36.067,2023-02-04 07:56:23.019347+00:00,P1,4.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:56:23.019347+00:00,P2,3.0
145,DHT22,3528,-0.286,36.067,2023-02-04 07:59:04.009367+00:00,temperature,26,2023-02-04 07:59:04+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 07:59:04.009367+00:00,humidity,46,144,SDS011,3528,-0.286,36.067,2023-02-04 07:59:04.009369+00:00,P1,12.0,144,SDS011,3528,-0.286,36.067,2023-02-04 07:59:04.009369+00:00,P2,3.0
145,DHT22,3528,-0.286,36.067,2023-02-04 08:01:44.108394+00:00,temperature,27,2023-02-04 08:01:44+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:01:44.108394+00:00,humidity,47,144,SDS011,3528,-0.286,36.067,2023-02-04 08:01:44.099714+00:00,P1,25.0,144,SDS011,3528,-0.286,36.067,2023-02-04 08:01:44.099714+00:00,P2,7.0
145,DHT22,3528,-0.286,36.067,2023-02-04 08:04:23.877004+00:00,temperature,27,2023-02-04 08:04:23+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:04:23.877004+00:00,humidity,47,144,SDS011,3528,-0.286,36.067,2023-02-04 08:04:23.874685+00:00,P1,15.0,144,SDS011,3528,-0.286,36.067,2023-02-04 08:04:23.874685+00:00,P2,5.0
145,DHT22,3528,-0.286,36.067,2023-02-04 08:07:04.487570+00:00,temperature,27,2023-02-04 08:07:04+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:07:04.487570+00:00,humidity,49,144,SDS011,3528,-0.286,36.067,2023-02-04 08:07:04.485572+00:00,P1,11.0,144,SDS011,3528,-0.286,36.067,2023-02-04 08:07:04.485572+00:00,P2,3.0
145,DHT22,3528,-0.286,36.067,2023-02-04 08:09:43.954923+00:00,temperature,27,2023-02-04 08:09:43+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:09:43.954923+00:00,humidity,46,,,,,,,,,,,,,,,,
145,DHT22,3528,-0.286,36.067,2023-02-04 08:12:24.044061+00:00,temperature,28,2023-02-04 08:12:24+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:12:24.044061+00:00,humidity,48,144,SDS011,3528,-0.286,36.067,2023-02-04 08:12:24.045251+00:00,P1,4.0,144,SDS011,3528,-0.286,36.067,2023-02-04 08:12:24.045251+00:00,P2,3.0
145,DHT22,3528,-0.286,36.067,2023-02-04 08:15:04.963884+00:00,temperature,28,2023-02-04 08:15:04+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:15:04.963884+00:00,humidity,49,144,SDS011,3528,-0.286,36.067,2023-02-04 08:15:04.962402+00:00,P1,29.0,144,SDS011,3528,-0.286,36.067,2023-02-04 08:15:04.962402+00:00,P2,7.0
145,DHT22,3528,-0.286,36.067,2023-02-04 08:17:45.055346+00:00,temperature,28,2023-02-04 08:17:45+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:17:45.055346+00:00,humidity,52,144,SDS011,3528,-0.286,36.067,2023-02-04 08:17:45.305216+00:00,P1,19.0,144,SDS011,3528,-0.286,36.067,2023-02-04 08:17:45.305216+00:00,P2,4.0
145,DHT22,3528,-0.286,36.067,2023-02-04 08:20:24.878631+00:00,temperature,29,2023-02-04 08:20:24+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:20:24.878631+00:00,humidity,50,144,SDS011,3528,-0.286,36.067,2023-02-04 08:20:24.878815+00:00,P1,5.0,144,SDS011,3528,-0.286,36.067,2023-02-04 08:20:24.878815+00:00,P2,3.0
145,DHT22,3528,-0.286,36.067,2023-02-04 08:23:06.123012+00:00,temperature,29,2023-02-04 08:23:06+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:23:06.123012+00:00,humidity,43,,,,,,,,,,,,,,,,
145,DHT22,3528,-0.286,36.067,2023-02-04 08:25:45.588744+00:00,temperature,29,2023-02-04 08:25:45+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:25:45.588744+00:00,humidity,40,144,SDS011,3528,-0.286,36.067,2023-02-04 08:25:45.591423+00:00,P1,2.0,144,SDS011,3528,-0.286,36.067,2023-02-04 08:25:45.591423+00:00,P2,2.0
145,DHT22,3528,-0.286,36.067,2023-02-04 08:28:25.307282+00:00,temperature,29,2023-02-04 08:28:25+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:28:25.307282+00:00,humidity,41,144,SDS011,3528,-0.286,36.067,2023-02-04 08:28:25.197562+00:00,P1,5.0,144,SDS011,3528,-0.286,36.067,2023-02-04 08:28:25.197562+00:00,P2,2.0
145,DHT22,3528,-0.286,36.067,2023-02-04 08:31:05.989399+00:00,temperature,29,2023-02-04 08:31:05+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:31:05.989399+00:00,humidity,43,144,SDS011,3528,-0.286,36.067,2023-02-04 08:31:05.988396+00:00,P1,4.0,144,SDS011,3528,-0.286,36.067,2023-02-04 08:31:05.988396+00:00,P2,3.0
145,DHT22,3528,-0.286,36.067,2023-02-04 08:33:45.168893+00:00,temperature,29,2023-02-04 08:33:45+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:33:45.168893+00:00,humidity,41,144,SDS011,3528,-0.286,36.067,2023-02-04 08:33:45.168896+00:00,P1,23.0,144,SDS011,3528,-0.286,36.067,2023-02-04 08:33:45.168896+00:00,P2,3.0
145,DHT22,3528,-0.286,36.067,2023-02-04 08:36:26.336649+00:00,temperature,29,2023-02-04 08:36:26+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:36:26.336649+00:00,humidity,41,144,SDS011,3528,-0.286,36.067,2023-02-04 08:36:26.336665+00:00,P1,3.0,144,SDS011,3528,-0.286,36.067,2023-02-04 08:36:26.336665+00:00,P2,3.0
145,DHT22,3528,-0.286,36.067,2023-02-04 08:39:05.870740+00:00,temperature,29,2023-02-04 08:39:05+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:39:05.870740+00:00,humidity,41,144,SDS011,3528,-0.286,36.067,2023-02-04 08:39:05.870779+00:00,P1,5.0,144,SDS011,3528,-0.286,36.067,2023-02-04 08:39:05.870779+00:00,P2,1.0
145,DHT22,3528,-0.286,36.067,2023-02-04 08:41:46.375040+00:00,temperature,29,2023-02-04 08:41:46+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:41:46.375040+00:00,humidity,40,144,SDS011,3528,-0.286,36.067,2023-02-04 08:41:46.375063+00:00,P1,2.0,144,SDS011,3528,-0.286,36.067,2023-02-04 08:41:46.375063+00:00,P2,2.0
145,DHT22,3528,-0.286,36.067,2023-02-04 08:44:26.030085+00:00,temperature,30,2023-02-04 08:44:26+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:44:26.030085+00:00,humidity,41,144,SDS011,3528,-0.286,36.067,2023-02-04 08:44:26.032270+00:00,P1,20.0,144,SDS011,3528,-0.286,36.067,2023-02-04 08:44:26.032270+00:00,P2,3.0
145,DHT22,3528,-0.286,36.067,2023-02-04 08:47:06.444656+00:00,temperature,30,2023-02-04 08:47:06+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:47:06.444656+00:00,humidity,39,144,SDS011,3528,-0.286,36.067,2023-02-04 08:47:06.454366+00:00,P1,13.0,144,SDS011,3528,-0.286,36.067,2023-02-04 08:47:06.454366+00:00,P2,3.0
145,DHT22,3528,-0.286,36.067,2023-02-04 08:49:46.725969+00:00,temperature,29,2023-02-04 08:49:46+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:49:46.725969+00:00,humidity,37,144,SDS011,3528,-0.286,36.067,2023-02-04 08:49:46.725593+00:00,P1,2.0,144,SDS011,3528,-0.286,36.067,2023-02-04 08:49:46.725593+00:00,P2,2.0
145,DHT22,3528,-0.286,36.067,2023-02-04 08:52:27.131657+00:00,temperature,29,2023-02-04 08:52:27+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:52:27.131657+00:00,humidity,38,144,SDS011,3528,-0.286,36.067,2023-02-04 08:52:27.132044+00:00,P1,13.0,144,SDS011,3528,-0.286,36.067,2023-02-04 08:52:27.132044+00:00,P2,3.0
145,DHT22,3528,-0.286,36.067,2023-02-04 08:55:06.621757+00:00,temperature,29,2023-02-04 08:55:06+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:55:06.621757+00:00,humidity,37,,,,,,,,,,,,,,,,
145,DHT22,3528,-0.286,36.067,2023-02-04 08:57:47.061391+00:00,temperature,29,2023-02-04 08:57:47+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 08:57:47.061391+00:00,humidity,37,144,SDS011,3528,-0.286,36.067,2023-02-04 08:57:47.183474+00:00,P1,46.0,144,SDS011,3528,-0.286,36.067,2023-02-04 08:57:47.183474+00:00,P2,3.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:00:27.664811+00:00,temperature,29,2023-02-04 09:00:27+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:00:27.664811+00:00,humidity,37,144,SDS011,3528,-0.286,36.067,2023-02-04 09:00:27.664807+00:00,P1,3.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:00:27.664807+00:00,P2,1.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:03:07.897771+00:00,temperature,29,2023-02-04 09:03:07+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:03:07.897771+00:00,humidity,39,144,SDS011,3528,-0.286,36.067,2023-02-04 09:03:07.898159+00:00,P1,6.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:03:07.898159+00:00,P2,2.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:05:47.416154+00:00,temperature,29,2023-02-04 09:05:47+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:05:47.416154+00:00,humidity,38,144,SDS011,3528,-0.286,36.067,2023-02-04 09:05:47.411742+00:00,P1,7.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:05:47.411742+00:00,P2,2.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:08:27.754276+00:00,temperature,29,2023-02-04 09:08:27+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:08:27.754276+00:00,humidity,38,144,SDS011,3528,-0.286,36.067,2023-02-04 09:08:27.753857+00:00,P1,10.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:08:27.753857+00:00,P2,2.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:11:08.218099+00:00,temperature,30,2023-02-04 09:11:08+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:11:08.218099+00:00,humidity,37,144,SDS011,3528,-0.286,36.067,2023-02-04 09:11:08.218109+00:00,P1,7.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:11:08.218109+00:00,P2,2.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:13:47.826177+00:00,temperature,30,2023-02-04 09:13:47+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:13:47.826177+00:00,humidity,39,144,SDS011,3528,-0.286,36.067,2023-02-04 09:13:47.828012+00:00,P1,6.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:13:47.828012+00:00,P2,3.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:16:28.196628+00:00,temperature,30,2023-02-04 09:16:28+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:16:28.196628+00:00,humidity,37,144,SDS011,3528,-0.286,36.067,2023-02-04 09:16:28.195074+00:00,P1,2.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:16:28.195074+00:00,P2,2.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:19:08.493929+00:00,temperature,30,2023-02-04 09:19:08+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:19:08.493929+00:00,humidity,37,144,SDS011,3528,-0.286,36.067,2023-02-04 09:19:08.491210+00:00,P1,2.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:19:08.491210+00:00,P2,2.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:21:48.993276+00:00,temperature,30,2023-02-04 09:21:48+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:21:48.993276+00:00,humidity,37,144,SDS011,3528,-0.286,36.067,2023-02-04 09:21:48.993263+00:00,P1,14.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:21:48.993263+00:00,P2,2.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:24:30.133679+00:00,temperature,30,2023-02-04 09:24:30+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:24:30.133679+00:00,humidity,38,,,,,,,,,,,,,,,,
145,DHT22,3528,-0.286,36.067,2023-02-04 09:27:08.944744+00:00,temperature,30,2023-02-04 09:27:08+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:27:08.944744+00:00,humidity,37,144,SDS011,3528,-0.286,36.067,2023-02-04 09:27:08.944680+00:00,P1,14.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:27:08.944680+00:00,P2,2.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:29:48.945927+00:00,temperature,31,2023-02-04 09:29:48+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:29:48.945927+00:00,humidity,37,144,SDS011,3528,-0.286,36.067,2023-02-04 09:29:48.947593+00:00,P1,6.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:29:48.947593+00:00,P2,2.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:32:28.941417+00:00,temperature,31,2023-02-04 09:32:28+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:32:28.941417+00:00,humidity,37,144,SDS011,3528,-0.286,36.067,2023-02-04 09:32:28.938560+00:00,P1,13.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:32:28.938560+00:00,P2,2.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:35:08.988077+00:00,temperature,31,2023-02-04 09:35:08+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:35:08.988077+00:00,humidity,36,144,SDS011,3528,-0.286,36.067,2023-02-04 09:35:08.989111+00:00,P1,37.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:35:08.989111+00:00,P2,3.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:37:49.391774+00:00,temperature,31,2023-02-04 09:37:49+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:37:49.391774+00:00,humidity,36,144,SDS011,3528,-0.286,36.067,2023-02-04 09:37:49.389588+00:00,P1,20.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:37:49.389588+00:00,P2,2.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:40:34.891981+00:00,temperature,31,2023-02-04 09:40:34+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:40:34.891981+00:00,humidity,36,,,,,,,,,,,,,,,,
145,DHT22,3528,-0.286,36.067,2023-02-04 09:43:09.340214+00:00,temperature,32,2023-02-04 09:43:09+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:43:09.340214+00:00,humidity,36,144,SDS011,3528,-0.286,36.067,2023-02-04 09:43:09.340234+00:00,P1,19.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:43:09.340234+00:00,P2,3.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:45:49.785300+00:00,temperature,32,2023-02-04 09:45:49+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:45:49.785300+00:00,humidity,35,144,SDS011,3528,-0.286,36.067,2023-02-04 09:45:49.779859+00:00,P1,10.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:45:49.779859+00:00,P2,4.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:48:30.379557+00:00,temperature,32,2023-02-04 09:48:30+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:48:30.379557+00:00,humidity,36,144,SDS011,3528,-0.286,36.067,2023-02-04 09:48:30.375096+00:00,P1,11.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:48:30.375096+00:00,P2,2.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:51:10.074445+00:00,temperature,32,2023-02-04 09:51:10+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:51:10.074445+00:00,humidity,34,144,SDS011,3528,-0.286,36.067,2023-02-04 09:51:10.074424+00:00,P1,6.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:51:10.074424+00:00,P2,1.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:53:49.989451+00:00,temperature,31,2023-02-04 09:53:49+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:53:49.989451+00:00,humidity,34,,,,,,,,,,,,,,,,
145,DHT22,3528,-0.286,36.067,2023-02-04 09:56:30.563776+00:00,temperature,30,2023-02-04 09:56:30+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:56:30.563776+00:00,humidity,34,144,SDS011,3528,-0.286,36.067,2023-02-04 09:56:30.563792+00:00,P1,8.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:56:30.563792+00:00,P2,3.0
145,DHT22,3528,-0.286,36.067,2023-02-04 09:59:10.947994+00:00,temperature,30,2023-02-04 09:59:10+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 09:59:10.947994+00:00,humidity,35,144,SDS011,3528,-0.286,36.067,2023-02-04 09:59:10.947332+00:00,P1,10.0,144,SDS011,3528,-0.286,36.067,2023-02-04 09:59:10.947332+00:00,P2,2.0
